,Ankanam,Acre,Are,Bigha – Assam,Bigha –  Bengal,Bigha – Pucca-Bihar,Bigha – Pucca-UP-I,Bigha-Pucca-Rajasthan-I,Bigha-Pucca-Punjab-I,Bigha – Pucca-Haryana-I,Bigha Gujarat,Bigha-Rajasthan-II, Bigha HP-I, Bigha HP-II, Bigha-Uttarakhand I,Bigha-Uttarakhand-II,Bigha (MP),Bigha- Kachha-Punjab-II,Bigha- Kachha- Haryana-II,Bigha- Kachha-UP-II,Biswa – Pucca-UP-I,Biswa – Pucca-Rajasthan-I,Biswa – Pucca- Punjab-I,Biswa – Pucca-Haryana-I,Biswa – Rajasthan II,Biswa-HP-I,Biswa-Uttarakhand-I,Biswa-HP-II,Biswa-Uttarakhand-II,Biswa (Kaccha) –Punjab-II,Biswa (Kaccha) – Haryana-II,Biswa (Kaccha) – UP-II,Centiare, Cent,Chatak,Decimal,Dhur-Bihar,Dhur-Jharkhand, Dhur-Tripura,Ghumaon,Ground,Guntha,Hectare,Kanal, Kattha-Assam, Kattha-Bengal, Kattha-Bihar, Kattha-MP, Killa, Kranta, Kuncham, Lecha, Marla, Murabba, Nalli, Perch, Rood, Sarsahi (Square Karam), Shatak, Square Centimeters, Square Feet, Square Inch, Square Kilometer, Square Meter, Square Mile, Square Yard, Unwasi (एक उनवांसी), kachwansi (एक कचवांसी)
Bigha Gujarat,242,0.4,16.18744135,1.21,1.21,0.64,0.64,0.64,0.64,0.64,1,1,2,2.151111111,2,2.151111111,1.45200363,1.920006347,1.920006347,1.920006347,12.8,12.8,12.8,12.8,20,40,40,43.02222222,43.02222222,38.39974612,38.39974612,38.39974612,1618.744135,40,387.2,40,256,256,4840,0.4,7.26,16,0.1618744135,3.2,6.05,24.2,12.8,29.04,0.4,242,4,121,64,0.016,8.066666667,64,1.6,576,40,16187441.35,17424,2509057.606,0.001618742569,1618.742568,0.000625,1936,102400,5120
Bigha-Rajasthan-II,242,0.4,16.18744135,1.21,1.21,0.64,0.64,0.64,0.64,0.64,1,1,2,2.151111111,2,2.151111111,1.45200363,1.920006347,1.920006347,1.920006347,12.8,12.8,12.8,12.8,20,40,40,43.02222222,43.02222222,38.39974612,38.39974612,38.39974612,1618.744135,40,387.2,40,256,256,4840,0.4,7.26,16,0.1618744135,3.2,6.05,24.2,12.8,29.04,0.4,242,4,121,64,0.016,8.066666667,64,1.6,576,40,16187441.35,17424,2509057.606,0.001618742569,1618.742568,0.000625,1936,102400,5120
 Bigha HP-I,121,0.2,8.093720677,0.605,0.605,0.32,0.32,0.32,0.32,0.32,0.5,0.5,1,1.075555556,1,1.075555556,0.726001815,0.9600031736,0.9600031736,0.9600031736,6.4,6.4,6.4,6.4,10,20,20,21.51111111,21.51111111,19.19987306,19.19987306,19.19987306,809.3720677,20,193.6,20,128,128,2420,0.2,3.63,8,0.08093720677,1.6,3.025,12.1,6.4,14.52,0.2,121,2,60.5,32,0.008,4.033333333,32,0.8,288,20,8093720.677,8712,1254528.803,0.0008093712845,809.3712842,0.0003125,968,51200,2560
 Bigha HP-II,112.5,0.1859504132,7.525153522,0.5625,0.5625,0.2975206612,0.2975206612,0.2975206612,0.2975206612,0.2975206612,0.4648760331,0.4648760331,0.9297520661,1,0.9297520661,1,0.6750016875,0.8925649341,0.8925649341,0.8925649341,5.950413223,5.950413223,5.950413223,5.950413223,9.297520661,18.59504132,18.59504132,20,20,17.85112165,17.85112165,17.85112165,752.5153522,18.59504132,180,18.59504132,119.0082645,119.0082645,2250,0.1859504132,3.375,7.438016529,0.07525153522,1.487603306,2.8125,11.25,5.950413223,13.5,0.1859504132,112.5,1.859504132,56.25,29.75206612,0.007438016529,3.75,29.75206612,0.7438016529,267.768595,18.59504132,7525153.522,8100,1166400.746,0.000752514624,752.5146238,0.0002905475207,900,47603.30579,2380.165289
 Bigha-Uttarakhand I,121,0.2,8.093720677,0.605,0.605,0.32,0.32,0.32,0.32,0.32,0.5,0.5,1,1.075555556,1,1.075555556,0.726001815,0.9600031736,0.9600031736,0.9600031736,6.4,6.4,6.4,6.4,10,20,20,21.51111111,21.51111111,19.19987306,19.19987306,19.19987306,809.3720677,20,193.6,20,128,128,2420,0.2,3.63,8,0.08093720677,1.6,3.025,12.1,6.4,14.52,0.2,121,2,60.5,32,0.008,4.033333333,32,0.8,288,20,8093720.677,8712,1254528.803,0.0008093712845,809.3712842,0.0003125,968,51200,2560
Bigha-Uttarakhand-II,112.5,0.1859504132,7.525153522,0.5625,0.5625,0.2975206612,0.2975206612,0.2975206612,0.2975206612,0.2975206612,0.4648760331,0.4648760331,0.9297520661,1,0.9297520661,1,0.6750016875,0.8925649341,0.8925649341,0.8925649341,5.950413223,5.950413223,5.950413223,5.950413223,9.297520661,18.59504132,18.59504132,20,20,17.85112165,17.85112165,17.85112165,752.5153522,18.59504132,180,18.59504132,119.0082645,119.0082645,2250,0.1859504132,3.375,7.438016529,0.07525153522,1.487603306,2.8125,11.25,5.950413223,13.5,0.1859504132,112.5,1.859504132,56.25,29.75206612,0.007438016529,3.75,29.75206612,0.7438016529,267.768595,18.59504132,7525153.522,8100,1166400.746,0.000752514624,752.5146238,0.0002905475207,900,47603.30579,2380.165289
Bigha (MP),166.66625,0.275481405,11.14834772,0.83333125,0.83333125,0.4407702479,0.4407702479,0.4407702479,0.4407702479,0.4407702479,0.6887035124,0.6887035124,1.377407025,1.481477778,1.377407025,1.481477778,1,1.322315115,1.322315115,1.322315115,8.815404959,8.815404959,8.815404959,8.815404959,13.77407025,27.5481405,27.5481405,29.62955556,29.62955556,26.44604003,26.44604003,26.44604003,1114.834772,27.5481405,266.666,27.5481405,176.3080992,176.3080992,3333.325,0.275481405,4.9999875,11.0192562,0.1114834772,2.20385124,4.16665625,16.666625,8.815404959,19.99995,0.275481405,166.66625,2.75481405,83.333125,44.07702479,0.0110192562,5.555541667,44.07702479,1.10192562,396.6932231,27.5481405,11148347.72,11999.97,1727996.786,0.001114833693,1114.833693,0.0004304396952,1333.33,70523.23967,3526.161983
Bigha- Kachha-Punjab-II,126.04125,0.2083326446,8.430931168,0.63020625,0.63020625,0.3333322314,0.3333322314,0.3333322314,0.3333322314,0.3333322314,0.5208316116,0.5208316116,1.041663223,1.120366667,1.041663223,1.120366667,0.7562493906,1,1,1,6.666644628,6.666644628,6.666644628,6.666644628,10.41663223,20.83326446,20.83326446,22.40733333,22.40733333,19.99980165,19.99980165,19.99980165,843.0931168,20.83326446,201.666,20.83326446,133.3328926,133.3328926,2520.825,0.2083326446,3.7812375,8.333305785,0.08430931168,1.666661157,3.15103125,12.604125,6.666644628,15.12495,0.2083326446,126.04125,2.083326446,63.020625,33.33322314,0.008333305785,4.201375,33.33322314,0.8333305785,299.9990083,20.83326446,8430931.168,9074.97,1306796.516,0.0008430923009,843.0923007,0.0003255197572,1008.33,53333.15702,2666.657851
Bigha- Kachha- Haryana-II,126.04125,0.2083326446,8.430931168,0.63020625,0.63020625,0.3333322314,0.3333322314,0.3333322314,0.3333322314,0.3333322314,0.5208316116,0.5208316116,1.041663223,1.120366667,1.041663223,1.120366667,0.7562493906,1,1,1,6.666644628,6.666644628,6.666644628,6.666644628,10.41663223,20.83326446,20.83326446,22.40733333,22.40733333,19.99980165,19.99980165,19.99980165,843.0931168,20.83326446,201.666,20.83326446,133.3328926,133.3328926,2520.825,0.2083326446,3.7812375,8.333305785,0.08430931168,1.666661157,3.15103125,12.604125,6.666644628,15.12495,0.2083326446,126.04125,2.083326446,63.020625,33.33322314,0.008333305785,4.201375,33.33322314,0.8333305785,299.9990083,20.83326446,8430931.168,9074.97,1306796.516,0.0008430923009,843.0923007,0.0003255197572,1008.33,53333.15702,2666.657851
Bigha- Kachha-UP-II,126.04125,0.2083326446,8.430931168,0.63020625,0.63020625,0.3333322314,0.3333322314,0.3333322314,0.3333322314,0.3333322314,0.5208316116,0.5208316116,1.041663223,1.120366667,1.041663223,1.120366667,0.7562493906,1,1,1,6.666644628,6.666644628,6.666644628,6.666644628,10.41663223,20.83326446,20.83326446,22.40733333,22.40733333,19.99980165,19.99980165,19.99980165,843.0931168,20.83326446,201.666,20.83326446,133.3328926,133.3328926,2520.825,0.2083326446,3.7812375,8.333305785,0.08430931168,1.666661157,3.15103125,12.604125,6.666644628,15.12495,0.2083326446,126.04125,2.083326446,63.020625,33.33322314,0.008333305785,4.201375,33.33322314,0.8333305785,299.9990083,20.83326446,8430931.168,9074.97,1306796.516,0.0008430923009,843.0923007,0.0003255197572,1008.33,53333.15702,2666.657851
Biswa – Pucca-UP-I,18.90625,0.03125,1.264643856,0.09453125,0.09453125,0.05,0.05,0.05,0.05,0.05,0.078125,0.078125,0.15625,0.1680555556,0.15625,0.1680555556,0.1134377836,0.1500004959,0.1500004959,0.1500004959,1,1,1,1,1.5625,3.125,3.125,3.361111111,3.361111111,2.999980165,2.999980165,2.999980165,126.4643856,3.125,30.25,3.125,20,20,378.125,0.03125,0.5671875,1.25,0.01264643856,0.25,0.47265625,1.890625,1,2.26875,0.03125,18.90625,0.3125,9.453125,5,0.00125,0.6302083333,5,0.125,45,3.125,1264643.856,1361.25,196020.1255,0.0001264642632,126.4642632,0.000048828125,151.25,8000,400
Biswa – Pucca-Rajasthan-I,18.90625,0.03125,1.264643856,0.09453125,0.09453125,0.05,0.05,0.05,0.05,0.05,0.078125,0.078125,0.15625,0.1680555556,0.15625,0.1680555556,0.1134377836,0.1500004959,0.1500004959,0.1500004959,1,1,1,1,1.5625,3.125,3.125,3.361111111,3.361111111,2.999980165,2.999980165,2.999980165,126.4643856,3.125,30.25,3.125,20,20,378.125,0.03125,0.5671875,1.25,0.01264643856,0.25,0.47265625,1.890625,1,2.26875,0.03125,18.90625,0.3125,9.453125,5,0.00125,0.6302083333,5,0.125,45,3.125,1264643.856,1361.25,196020.1255,0.0001264642632,126.4642632,0.000048828125,151.25,8000,400
Biswa – Pucca- Punjab-I,18.90625,0.03125,1.264643856,0.09453125,0.09453125,0.05,0.05,0.05,0.05,0.05,0.078125,0.078125,0.15625,0.1680555556,0.15625,0.1680555556,0.1134377836,0.1500004959,0.1500004959,0.1500004959,1,1,1,1,1.5625,3.125,3.125,3.361111111,3.361111111,2.999980165,2.999980165,2.999980165,126.4643856,3.125,30.25,3.125,20,20,378.125,0.03125,0.5671875,1.25,0.01264643856,0.25,0.47265625,1.890625,1,2.26875,0.03125,18.90625,0.3125,9.453125,5,0.00125,0.6302083333,5,0.125,45,3.125,1264643.856,1361.25,196020.1255,0.0001264642632,126.4642632,0.000048828125,151.25,8000,400
Biswa – Pucca-Haryana-I,18.90625,0.03125,1.264643856,0.09453125,0.09453125,0.05,0.05,0.05,0.05,0.05,0.078125,0.078125,0.15625,0.1680555556,0.15625,0.1680555556,0.1134377836,0.1500004959,0.1500004959,0.1500004959,1,1,1,1,1.5625,3.125,3.125,3.361111111,3.361111111,2.999980165,2.999980165,2.999980165,126.4643856,3.125,30.25,3.125,20,20,378.125,0.03125,0.5671875,1.25,0.01264643856,0.25,0.47265625,1.890625,1,2.26875,0.03125,18.90625,0.3125,9.453125,5,0.00125,0.6302083333,5,0.125,45,3.125,1264643.856,1361.25,196020.1255,0.0001264642632,126.4642632,0.000048828125,151.25,8000,400
Biswa – Rajasthan II,12.1,0.02,0.8093720677,0.0605,0.0605,0.032,0.032,0.032,0.032,0.032,0.05,0.05,0.1,0.1075555556,0.1,0.1075555556,0.0726001815,0.09600031736,0.09600031736,0.09600031736,0.64,0.64,0.64,0.64,1,2,2,2.151111111,2.151111111,1.919987306,1.919987306,1.919987306,80.93720677,2,19.36,2,12.8,12.8,242,0.02,0.363,0.8,0.008093720677,0.16,0.3025,1.21,0.64,1.452,0.02,12.1,0.2,6.05,3.2,0.0008,0.4033333333,3.2,0.08,28.8,2,809372.0677,871.2,125452.8803,0.00008093712845,80.93712842,0.00003125,96.8,5120,256
Biswa-HP-I,6.05,0.01,0.4046860339,0.03025,0.03025,0.016,0.016,0.016,0.016,0.016,0.025,0.025,0.05,0.05377777778,0.05,0.05377777778,0.03630009075,0.04800015868,0.04800015868,0.04800015868,0.32,0.32,0.32,0.32,0.5,1,1,1.075555556,1.075555556,0.9599936529,0.9599936529,0.9599936529,40.46860339,1,9.68,1,6.4,6.4,121,0.01,0.1815,0.4,0.004046860339,0.08,0.15125,0.605,0.32,0.726,0.01,6.05,0.1,3.025,1.6,0.0004,0.2016666667,1.6,0.04,14.4,1,404686.0339,435.6,62726.44014,0.00004046856422,40.46856421,0.000015625,48.4,2560,128
Biswa-Uttarakhand-I,6.05,0.01,0.4046860339,0.03025,0.03025,0.016,0.016,0.016,0.016,0.016,0.025,0.025,0.05,0.05377777778,0.05,0.05377777778,0.03630009075,0.04800015868,0.04800015868,0.04800015868,0.32,0.32,0.32,0.32,0.5,1,1,1.075555556,1.075555556,0.9599936529,0.9599936529,0.9599936529,40.46860339,1,9.68,1,6.4,6.4,121,0.01,0.1815,0.4,0.004046860339,0.08,0.15125,0.605,0.32,0.726,0.01,6.05,0.1,3.025,1.6,0.0004,0.2016666667,1.6,0.04,14.4,1,404686.0339,435.6,62726.44014,0.00004046856422,40.46856421,0.000015625,48.4,2560,128
Biswa-HP-II,5.625,0.009297520661,0.3762576761,0.028125,0.028125,0.01487603306,0.01487603306,0.01487603306,0.01487603306,0.01487603306,0.02324380165,0.02324380165,0.04648760331,0.05,0.04648760331,0.05,0.03375008438,0.0446282467,0.0446282467,0.0446282467,0.2975206612,0.2975206612,0.2975206612,0.2975206612,0.4648760331,0.9297520661,0.9297520661,1,1,0.8925560823,0.8925560823,0.8925560823,37.62576761,0.9297520661,9,0.9297520661,5.950413223,5.950413223,112.5,0.009297520661,0.16875,0.3719008264,0.003762576761,0.07438016529,0.140625,0.5625,0.2975206612,0.675,0.009297520661,5.625,0.09297520661,2.8125,1.487603306,0.0003719008264,0.1875,1.487603306,0.03719008264,13.38842975,0.9297520661,376257.6761,405,58320.03732,0.0000376257312,37.62573119,0.00001452737603,45,2380.165289,119.0082645
Biswa-Uttarakhand-II,5.625,0.009297520661,0.3762576761,0.028125,0.028125,0.01487603306,0.01487603306,0.01487603306,0.01487603306,0.01487603306,0.02324380165,0.02324380165,0.04648760331,0.05,0.04648760331,0.05,0.03375008438,0.0446282467,0.0446282467,0.0446282467,0.2975206612,0.2975206612,0.2975206612,0.2975206612,0.4648760331,0.9297520661,0.9297520661,1,1,0.8925560823,0.8925560823,0.8925560823,37.62576761,0.9297520661,9,0.9297520661,5.950413223,5.950413223,112.5,0.009297520661,0.16875,0.3719008264,0.003762576761,0.07438016529,0.140625,0.5625,0.2975206612,0.675,0.009297520661,5.625,0.09297520661,2.8125,1.487603306,0.0003719008264,0.1875,1.487603306,0.03719008264,13.38842975,0.9297520661,376257.6761,405,58320.03732,0.0000376257312,37.62573119,0.00001452737603,45,2380.165289,119.0082645
Biswa (Kaccha) –Punjab-II,6.302125,0.01041673554,0.421550739,0.031510625,0.031510625,0.01666677686,0.01666677686,0.01666677686,0.01666677686,0.01666677686,0.02604183884,0.02604183884,0.05208367769,0.05601888889,0.05208367769,0.05601888889,0.03781284453,0.05000049587,0.05000049587,0.05000049587,0.3333355372,0.3333355372,0.3333355372,0.3333355372,0.5208367769,1.041673554,1.041673554,1.120377778,1.120377778,1,1,1,42.1550739,1.041673554,10.0834,1.041673554,6.666710744,6.666710744,126.0425,0.01041673554,0.18906375,0.4166694215,0.00421550739,0.0833338843,0.157553125,0.6302125,0.3333355372,0.756255,0.01041673554,6.302125,0.1041673554,3.1510625,1.666677686,0.0004166694215,0.2100708333,1.666677686,0.04166694215,15.00009917,1.041673554,421550.739,453.753,65340.47382,0.00004215503311,42.1550331,0.00001627614928,50.417,2666.684298,133.3342149
